num,title
1,Evolution
2,The Ensigns of Command
3,The Survivors
4,Who Watches the Watchers
5,The Bonding
6,Booby Trap
7,The Enemy
8,The Price
9,The Vengeance Factor
10,The Defector
11,The Hunted
12,The High Ground
13,Deja Q
14,A Matter of Perspective
15,Yesterdays Enterprise
16,The Offspring
17,Sins of the Father
18,Allegiance
19,Captains Holiday
20,Tin Man
21,Hollow Pursuits
22,The Most Toys
23,Sarek
24,Menage a Troi
25,Transfigurations
26,The Best of Both Worlds Part I
